user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
BIN12	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter_A;s__	N/A	N/A	N/A	N/A	N/A	GCF_003574295.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter_A;s__Mediterraneibacter_A butyricigenes	79.01	0.22	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter_A;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	65.01	11	0.9441283084521592	N/A
BIN120	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Evtepia;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Evtepia;s__	ANI	classification based on placement in class-level tree	GCA_004551945.1, s__Evtepia sp004551945, 95.0, 81.74, 0.45; GCA_016296565.1, s__Evtepia sp016296565, 95.0, 81.49, 0.39; GCA_016295225.1, s__Evtepia sp016295225, 95.0, 81.01, 0.36; GCA_004554585.1, s__Evtepia sp004554585, 95.0, 80.7, 0.37; GCA_019115225.1, s__Evtepia faecigallinarum, 95.0, 80.53, 0.35; GCA_019115545.1, s__Evtepia faecavium, 95.0, 80.44, 0.34; GCA_017435425.1, s__Evtepia sp017435425, 95.0, 80.38, 0.41; GCA_017502545.1, s__Evtepia sp017502545, 95.0, 79.91, 0.34; GCA_017521345.1, s__Evtepia sp017521345, 95.0, 79.91, 0.35; GCA_017547425.1, s__Evtepia sp017547425, 95.0, 79.86, 0.34; GCA_902781745.1, s__Evtepia sp902781745, 95.0, 79.85, 0.3; GCF_003425665.1, s__Evtepia gabavorous, 95.0, 79.74, 0.39; GCA_900546255.1, s__Evtepia excrementipullorum, 95.0, 79.72, 0.35; GCA_017560855.1, s__Evtepia sp017560855, 95.0, 79.7, 0.22; GCA_004556345.1, s__Evtepia sp004556345, 95.0, 79.65, 0.34; GCA_910578575.1, s__Evtepia sp910578575, 95.0, 79.58, 0.39; GCA_910584805.1, s__Evtepia sp910584805, 95.0, 78.99, 0.33; GCA_900758955.1, s__Evtepia sp900758955, 95.0, 77.73, 0.08; GCA_000620945.1, s__Evtepia viridis, 95.0, 77.54, 0.06; GCA_017861415.1, s__Evtepia sp017861415, 95.0, 76.91, 0.06	27.4	11	0.9628992108922363	N/A
BIN1200	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__UBA1750;g__SIG373;s__SIG373 sp015056005	GCA_015056005.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__UBA1750;g__SIG373;s__SIG373 sp015056005	97.72	0.79	GCA_015056005.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__UBA1750;g__SIG373;s__SIG373 sp015056005	97.72	0.79	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__UBA1750;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	18.09	11	N/A	N/A
BIN1201	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (3.2%)
BIN1202	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__UBA1242;g__UBA9845;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__UBA1242;g__UBA9845;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	25.22	11	0.9195682635951717	Genome has more than 70.8% of markers with multiple hits
BIN1203	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
BIN1204	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Tidjanibacter;s__Tidjanibacter sp017521965	GCA_017521965.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Tidjanibacter;s__Tidjanibacter sp017521965	96.61	0.96	GCA_017521965.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Tidjanibacter;s__Tidjanibacter sp017521965	96.61	0.96	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Tidjanibacter;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_017379955.1, s__Tidjanibacter sp017379955, 95.0, 84.85, 0.91; GCA_017631375.1, s__Tidjanibacter sp017631375, 95.0, 83.94, 0.86; GCA_017503805.1, s__Tidjanibacter sp017503805, 95.0, 78.74, 0.28; GCA_017466345.1, s__Tidjanibacter sp017466345, 95.0, 77.97, 0.29; GCA_017628675.1, s__Tidjanibacter sp017628675, 95.0, 77.96, 0.28; GCA_017936605.1, s__Tidjanibacter sp017936605, 95.0, 77.94, 0.33; GCA_017390585.1, s__Tidjanibacter sp017390585, 95.0, 77.92, 0.31; GCA_017547065.1, s__Tidjanibacter sp017547065, 95.0, 77.9, 0.26; GCA_017396085.1, s__Tidjanibacter sp017396085, 95.0, 77.87, 0.3; GCA_017628305.1, s__Tidjanibacter sp017628305, 95.0, 77.81, 0.31; GCA_015059945.1, s__Tidjanibacter sp015059945, 95.0, 77.76, 0.32; GCA_017936005.1, s__Tidjanibacter sp017936005, 95.0, 77.65, 0.25; GCA_017503465.1, s__Tidjanibacter sp017503465, 95.0, 77.34, 0.28; GCA_017648105.1, s__Tidjanibacter sp017648105, 95.0, 77.08, 0.25; GCA_017935385.1, s__Tidjanibacter sp017935385, 95.0, 77.0, 0.16; GCA_017630115.1, s__Tidjanibacter sp017630115, 95.0, 76.96, 0.26; GCA_900104605.1, s__Tidjanibacter inops_A, 95.0, 76.89, 0.1; GCA_019116245.1, s__Tidjanibacter faecipullorum, 95.0, 76.88, 0.17; GCA_910577285.1, s__Tidjanibacter sp910577285, 95.0, 76.4, 0.15; GCA_019114205.1, s__Tidjanibacter gallistercoris, 95.0, 76.26, 0.1	10.76	11	N/A	Genome has more than 89.2% of markers with multiple hits
BIN1205	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp017623115	GCA_017623115.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp017623115	97.51	0.54	GCA_017623115.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp017623115	97.51	0.54	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_017437045.1, s__Alistipes sp017437045, 95.0, 81.91, 0.34; GCA_017436185.1, s__Alistipes sp017436185, 95.0, 80.84, 0.23; GCA_017624955.1, s__Alistipes sp017624955, 95.0, 80.82, 0.3; GCA_017555105.1, s__Alistipes sp017555105, 95.0, 80.74, 0.29; GCA_015060045.1, s__Alistipes sp015060045, 95.0, 80.73, 0.26; GCA_017398045.1, s__Alistipes sp017398045, 95.0, 80.52, 0.34; GCA_017547175.1, s__Alistipes sp017547175, 95.0, 80.28, 0.25; GCA_017555975.1, s__Alistipes sp017555975, 95.0, 79.91, 0.21; GCA_015060165.1, s__Alistipes sp015060165, 95.0, 79.35, 0.03; GCA_015059965.1, s__Alistipes sp015059965, 95.0, 79.16, 0.15; GCA_014796635.1, s__Alistipes sp014796635, 95.0, 79.16, 0.03; GCF_000210575.1, s__Alistipes shahii, 95.0, 79.15, 0.13; GCA_910575495.1, s__Alistipes sp910575495, 95.0, 78.95, 0.1; GCA_017935185.1, s__Alistipes sp017935185, 95.0, 78.87, 0.07; GCF_002161445.1, s__Alistipes cottocaccae, 95.0, 78.66, 0.13; GCA_019115745.1, s__Alistipes intestinigallinarum, 95.0, 78.66, 0.14; GCA_019115605.1, s__Alistipes faecigallinarum, 95.0, 78.42, 0.13; GCF_000265365.1, s__Alistipes finegoldii, 95.0, 78.41, 0.1; GCA_000434235.1, s__Alistipes avistercoris, 95.0, 78.34, 0.14; GCA_910577475.1, s__Alistipes sp910577475, 95.0, 78.34, 0.12; GCA_910584485.1, s__Alistipes sp910584485, 95.0, 78.31, 0.21; GCA_900541585.1, s__Alistipes sp900541585, 95.0, 78.26, 0.12; GCF_000374505.1, s__Alistipes onderdonkii, 95.0, 78.26, 0.1; GCA_001941065.1, s__Alistipes sp001941065, 95.0, 78.26, 0.1; GCA_019119615.1, s__Alistipes stercoravium, 95.0, 78.25, 0.13; GCF_006542685.1, s__Alistipes dispar, 95.0, 78.22, 0.11; GCA_910580175.1, s__Alistipes sp910580175, 95.0, 78.2, 0.13; GCA_002428825.1, s__Alistipes sp002428825, 95.0, 78.19, 0.11; GCA_017380275.1, s__Alistipes sp017380275, 95.0, 78.18, 0.05; GCF_900290115.1, s__Alistipes excrementigallinarum, 95.0, 78.18, 0.15; GCA_900761235.1, s__Alistipes sp900761235, 95.0, 78.16, 0.05; GCA_015059735.1, s__Alistipes sp015059735, 95.0, 78.06, 0.09; GCA_900544265.1, s__Alistipes merdavium, 95.0, 78.02, 0.16; GCA_019118565.1, s__Alistipes avicola, 95.0, 78.0, 0.09; GCA_017628595.1, s__Alistipes sp017628595, 95.0, 78.0, 0.06; GCF_900604385.1, s__Alistipes megaguti, 95.0, 77.99, 0.14; GCF_006542665.1, s__Alistipes communis, 95.0, 77.97, 0.12; GCA_902362705.1, s__Alistipes sp002358415, 95.0, 77.95, 0.13; GCA_015060065.1, s__Alistipes sp015060065, 95.0, 77.93, 0.12; GCA_900542505.1, s__Alistipes stercorigallinarum, 95.0, 77.93, 0.17; GCA_904502075.1, s__Alistipes sp904502075, 95.0, 77.87, 0.11; GCF_900021155.1, s__Alistipes excrementavium, 95.0, 77.84, 0.1; GCA_902363575.1, s__Alistipes sp902363575, 95.0, 77.81, 0.11; GCA_015059905.1, s__Alistipes sp015059905, 95.0, 77.77, 0.08; GCA_019118605.1, s__Alistipes faecavium, 95.0, 77.76, 0.13; GCA_900760675.1, s__Alistipes sp900760675, 95.0, 77.73, 0.08; GCF_900107675.1, s__Alistipes timonensis, 95.0, 77.72, 0.13; GCA_019113885.1, s__Alistipes intestinipullorum, 95.0, 77.72, 0.12; GCA_017442365.1, s__Alistipes sp017442365, 95.0, 77.72, 0.08; GCA_910576555.1, s__Alistipes sp910576555, 95.0, 77.7, 0.13; GCF_000154465.1, s__Alistipes putredinis, 95.0, 77.69, 0.07; GCA_017465605.1, s__Alistipes sp017465605, 95.0, 77.65, 0.05; GCA_017416915.1, s__Alistipes sp017416915, 95.0, 77.64, 0.08; GCA_910574205.1, s__Alistipes sp002362235, 95.0, 77.6, 0.07; GCF_900083545.1, s__Alistipes provencensis, 95.0, 77.56, 0.16; GCF_000312145.1, s__Alistipes senegalensis, 95.0, 77.54, 0.15; GCA_017937125.1, s__Alistipes sp017937125, 95.0, 77.53, 0.05; GCA_015059845.1, s__Alistipes sp015059845, 95.0, 77.51, 0.09; GCA_900546065.1, s__Alistipes merdipullorum, 95.0, 77.5, 0.06; GCA_902388705.1, s__Alistipes sp902388705, 95.0, 77.49, 0.11; GCA_900550925.1, s__Alistipes sp900550925, 95.0, 77.48, 0.06; GCA_017398695.1, s__Alistipes sp017398695, 95.0, 77.48, 0.1; GCA_015060015.1, s__Alistipes sp015060015, 95.0, 77.47, 0.08; GCF_015553985.1, s__Alistipes sp900549305, 95.0, 77.41, 0.16; GCA_015060005.1, s__Alistipes sp015060005, 95.0, 77.39, 0.09; GCA_009774895.1, s__Alistipes sp009774895, 95.0, 77.26, 0.08; GCA_905214725.1, s__Alistipes sp905214725, 95.0, 77.24, 0.09; GCA_017631055.1, s__Alistipes sp017631055, 95.0, 77.23, 0.05; GCA_017463585.1, s__Alistipes sp017463585, 95.0, 77.21, 0.09; GCA_017560305.1, s__Alistipes sp017560305, 95.0, 77.2, 0.06; GCA_015059925.1, s__Alistipes sp015059925, 95.0, 77.17, 0.1; GCA_017399485.1, s__Alistipes sp017399485, 95.0, 77.14, 0.05; GCA_900769405.1, s__Alistipes sp900769405, 95.0, 77.09, 0.09; GCA_910587675.1, s__Alistipes sp910587675, 95.0, 77.06, 0.08; GCA_905213895.1, s__Alistipes sp900548155, 95.0, 77.05, 0.06; GCA_017630245.1, s__Alistipes sp017630245, 95.0, 77.04, 0.09; GCA_017391185.1, s__Alistipes sp017391185, 95.0, 77.01, 0.02; GCA_017936685.1, s__Alistipes sp017936685, 95.0, 76.97, 0.07; GCA_900553175.1, s__Alistipes sp900553175, 95.0, 76.96, 0.07; GCA_017536555.1, s__Alistipes sp017536555, 95.0, 76.94, 0.03; GCA_003979135.1, s__Alistipes sp003979135, 95.0, 76.91, 0.09; GCA_017623505.1, s__Alistipes sp017623505, 95.0, 76.91, 0.06; GCA_017555695.1, s__Alistipes sp017555695, 95.0, 76.81, 0.08; GCA_900550375.1, s__Alistipes sp900550375, 95.0, 76.76, 0.08; GCA_910586375.1, s__Alistipes sp910586375, 95.0, 76.75, 0.07; GCA_900552955.1, s__Alistipes sp900552955, 95.0, 76.71, 0.07; GCA_900769745.1, s__Alistipes sp900769745, 95.0, 76.68, 0.05; GCA_900770585.1, s__Alistipes sp900770585, 95.0, 76.53, 0.04; GCA_017531305.1, s__Alistipes sp017531305, 95.0, 76.52, 0.05; GCA_019113665.1, s__Alistipes excrementipullorum, 95.0, 76.49, 0.05; GCA_017383445.1, s__Alistipes sp017383445, 95.0, 76.43, 0.07; GCA_017546725.1, s__Alistipes sp017546725, 95.0, 76.39, 0.07; GCA_017532885.1, s__Alistipes sp017532885, 95.0, 76.3, 0.08; GCA_017555805.1, s__Alistipes sp017555805, 95.0, 76.2, 0.07; GCA_017425655.1, s__Alistipes sp017425655, 95.0, 76.12, 0.05; GCA_017379895.1, s__Alistipes sp017379895, 95.0, 76.09, 0.06; GCA_017384185.1, s__Alistipes sp017384185, 95.0, 76.05, 0.02; GCA_017934845.1, s__Alistipes sp017934845, 95.0, 75.83, 0.06; GCA_002293345.1, s__Alistipes sp002293345, 95.0, 75.36, 0.01	14.44	11	N/A	N/A
BIN1206	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_017416735.1, s__Phocaeicola sp017416735, 95.0, 85.78, 0.67; GCA_017466635.1, s__Phocaeicola sp017466635, 95.0, 85.75, 0.69; GCA_015060705.1, s__Phocaeicola sp015060705, 95.0, 84.96, 0.7; GCA_015060735.1, s__Phocaeicola sp015060735, 95.0, 83.05, 0.53; GCA_017558175.1, s__Phocaeicola sp017558175, 95.0, 82.61, 0.67; GCA_017472925.1, s__Phocaeicola sp017472925, 95.0, 81.01, 0.34; GCA_017503235.1, s__Phocaeicola sp017503235, 95.0, 81.0, 0.42; GCA_017559935.1, s__Phocaeicola sp017559935, 95.0, 80.85, 0.61; GCA_015060765.1, s__Phocaeicola sp015060765, 95.0, 80.82, 0.31; GCA_017467385.1, s__Phocaeicola sp017467385, 95.0, 80.56, 0.46; GCA_017420875.1, s__Phocaeicola sp017420875, 95.0, 80.55, 0.52; GCF_000154845.1, s__Phocaeicola coprocola, 95.0, 78.82, 0.13; GCF_900128495.1, s__Phocaeicola ilei, 95.0, 78.81, 0.13; GCF_000382445.1, s__Phocaeicola massiliensis, 95.0, 78.75, 0.2; GCF_000187895.1, s__Phocaeicola plebeius, 95.0, 78.68, 0.17; GCA_018883555.1, s__Phocaeicola faecigallinarum, 95.0, 78.6, 0.12; GCF_000012825.1, s__Phocaeicola vulgatus, 95.359, 78.59, 0.18; GCF_013009555.1, s__Phocaeicola dorei, 95.359, 78.57, 0.18; GCF_900128455.1, s__Phocaeicola mediterraneensis, 95.0, 78.41, 0.18; GCA_902362595.1, s__Phocaeicola merdigallinarum, 95.0, 78.34, 0.17; GCF_013618865.1, s__Phocaeicola sp900541515, 95.0, 78.31, 0.16; GCF_003437535.1, s__Phocaeicola plebeius_A, 95.0, 78.28, 0.17; GCF_000613805.1, s__Phocaeicola paurosaccharolyticus, 95.0, 78.13, 0.07; GCF_000614185.1, s__Phocaeicola sartorii, 95.0, 78.12, 0.19; GCA_900553185.1, s__Phocaeicola sp900553185, 95.0, 78.04, 0.17; GCA_902388365.1, s__Phocaeicola sp902388365, 95.0, 78.02, 0.22; GCF_000374585.1, s__Phocaeicola barnesiae, 95.0, 78.01, 0.19; GCF_016900355.1, s__Phocaeicola sp900551065, 95.0, 77.97, 0.18; GCA_011959205.1, s__Phocaeicola sp011959205, 95.0, 77.96, 0.17; GCF_016901995.1, s__Phocaeicola sp900066445, 95.0, 77.89, 0.11; GCF_000190575.1, s__Phocaeicola salanitronis, 95.0, 77.89, 0.15; GCA_000434735.1, s__Phocaeicola sp000434735, 95.0, 77.85, 0.12; GCF_000157915.1, s__Phocaeicola coprophilus, 95.0, 77.84, 0.14; GCA_900551445.1, s__Phocaeicola sp900551445, 95.0, 77.83, 0.16; GCA_000432735.1, s__Phocaeicola sp000432735, 95.0, 77.76, 0.13; GCA_900542985.1, s__Phocaeicola sp900542985, 95.0, 77.75, 0.15; GCA_900552075.1, s__Phocaeicola sp900552075, 95.0, 77.72, 0.18; GCF_016902295.1, s__Phocaeicola caecigallinarum_A, 95.0, 77.72, 0.12; GCF_016900695.1, s__Phocaeicola sp900540105, 95.0, 77.71, 0.12; GCF_002161765.1, s__Phocaeicola merdavium, 95.0, 77.71, 0.14; GCA_018884025.1, s__Phocaeicola faecipullorum_A, 95.0, 77.64, 0.1; GCA_900546645.1, s__Phocaeicola sp900546645, 95.0, 77.62, 0.11; GCA_900544675.1, s__Phocaeicola sp900544675, 95.0, 77.62, 0.14; GCA_900544075.1, s__Phocaeicola sp900544075, 95.0, 77.59, 0.11; GCA_002493165.1, s__Phocaeicola sp002493165, 95.0, 77.56, 0.16; GCA_019116145.1, s__Phocaeicola gallistercoris, 95.0, 77.52, 0.07; GCF_016899805.1, s__Phocaeicola gallinaceus, 95.0, 77.51, 0.13; GCA_900760795.1, s__Phocaeicola sp900760795, 95.0, 77.48, 0.16; GCA_902779535.1, s__Phocaeicola sp902779535, 95.0, 77.26, 0.1; GCA_000436795.1, s__Phocaeicola sp000436795, 95.0, 77.24, 0.1; GCA_900551645.1, s__Phocaeicola sp900551645, 95.0, 77.21, 0.13; GCA_004558305.1, s__Phocaeicola plebeius_B, 95.0, 77.2, 0.18; GCA_900546355.1, s__Phocaeicola sp900546355, 95.0, 77.13, 0.13; GCA_900552645.1, s__Phocaeicola sp900552645, 95.0, 77.08, 0.06; GCA_900556845.1, s__Phocaeicola sp900556845, 95.0, 76.84, 0.13; GCF_000312445.1, s__Phocaeicola abscessus, 95.0, 76.74, 0.06; GCA_905198575.1, s__Phocaeicola sp905198575, 95.0, 76.7, 0.11; GCA_019120125.1, s__Phocaeicola excrementigallinarum, 95.0, 76.69, 0.13; GCA_900546095.1, s__Phocaeicola excrementipullorum, 95.0, 76.63, 0.09; GCA_002315285.1, s__Phocaeicola sp002315285, 95.0, 76.19, 0.07	97.38	11	0.9818102436861214	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
BIN1207	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-177;s__CAG-177 sp017938985	GCA_017938985.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-177;s__CAG-177 sp017938985	98.63	0.66	GCA_017938985.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-177;s__CAG-177 sp017938985	98.63	0.66	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-177;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_017532185.1, s__CAG-177 sp017532185, 95.0, 84.33, 0.48; GCA_017435385.1, s__CAG-177 sp017435385, 95.0, 83.25, 0.59; GCA_017502085.1, s__CAG-177 sp017502085, 95.0, 83.12, 0.51; GCA_017473165.1, s__CAG-177 sp017473165, 95.0, 82.33, 0.37; GCA_017630695.1, s__CAG-177 sp017630695, 95.0, 82.29, 0.37; GCA_017517665.1, s__CAG-177 sp017517665, 95.0, 81.75, 0.39; GCA_017409845.1, s__CAG-177 sp017409845, 95.0, 81.61, 0.43; GCA_015066625.1, s__CAG-177 sp015066625, 95.0, 81.56, 0.4; GCA_017466365.1, s__CAG-177 sp017466365, 95.0, 81.5, 0.39; GCA_015065965.1, s__CAG-177 sp015065965, 95.0, 81.1, 0.34; GCA_017403185.1, s__CAG-177 sp017403185, 95.0, 80.99, 0.37; GCA_017549105.1, s__CAG-177 sp017549105, 95.0, 80.86, 0.32; GCA_017409265.1, s__CAG-177 sp017409265, 95.0, 80.45, 0.38; GCA_017410195.1, s__CAG-177 sp017410195, 95.0, 80.41, 0.34; GCA_017623615.1, s__CAG-177 sp017623615, 95.0, 80.04, 0.23; GCA_017548045.1, s__CAG-177 sp017548045, 95.0, 79.9, 0.36; GCA_016297555.1, s__CAG-177 sp016297555, 95.0, 79.88, 0.24; GCA_002315935.1, s__CAG-177 sp002315935, 95.0, 79.82, 0.2; GCA_016295895.1, s__CAG-177 sp016295895, 95.0, 79.28, 0.21; GCA_002309055.1, s__CAG-177 sp002309055, 95.0, 78.98, 0.09; GCA_000431775.1, s__CAG-177 sp000431775, 95.0, 78.69, 0.18; GCA_900770255.1, s__CAG-177 sp900770255, 95.0, 78.66, 0.05; GCA_017397105.1, s__CAG-177 sp017397105, 95.0, 78.58, 0.15; GCA_902787025.1, s__CAG-177 sp902787025, 95.0, 78.56, 0.09; GCA_016288315.1, s__CAG-177 sp016288315, 95.0, 78.44, 0.08; GCA_017519685.1, s__CAG-177 sp017519685, 95.0, 78.42, 0.09; GCA_017428625.1, s__CAG-177 sp017428625, 95.0, 78.25, 0.08; GCA_016282855.1, s__CAG-177 sp016282855, 95.0, 78.22, 0.1; GCA_902792905.1, s__CAG-177 sp902792905, 95.0, 78.19, 0.1; GCA_900771185.1, s__CAG-177 sp900771185, 95.0, 78.17, 0.06; GCA_017407995.1, s__CAG-177 sp017407995, 95.0, 78.07, 0.11; GCA_905235625.1, s__CAG-177 sp905235625, 95.0, 78.06, 0.11; GCA_016280595.1, s__CAG-177 sp016280595, 95.0, 78.06, 0.1; GCA_017552845.1, s__CAG-177 sp017552845, 95.0, 77.96, 0.06; GCA_002451755.1, s__CAG-177 sp002451755, 95.0, 77.94, 0.06; GCA_017430535.1, s__CAG-177 sp017430535, 95.0, 77.94, 0.11; GCA_003514385.1, s__CAG-177 sp003514385, 95.0, 77.9, 0.05; GCA_003538135.1, s__CAG-177 sp003538135, 95.0, 77.71, 0.06; GCA_017534365.1, s__CAG-177 sp017534365, 95.0, 77.66, 0.04; GCA_016285645.1, s__CAG-177 sp016285645, 95.0, 77.64, 0.1; GCA_017428525.1, s__CAG-177 sp017428525, 95.0, 77.38, 0.06; GCA_002438685.1, s__CAG-177 sp002438685, 95.0, 77.06, 0.06; GCA_017550895.1, s__CAG-177 sp017550895, 95.0, 76.51, 0.04; GCA_902784155.1, s__CAG-177 sp902784155, 95.0, 76.37, 0.05; GCA_902796295.1, s__CAG-177 sp902796295, 95.0, 76.36, 0.06; GCA_900319455.1, s__CAG-177 sp900319455, 95.0, 75.71, 0.04	41.16	11	N/A	N/A
BIN1208	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (2.5%)
